FID IID thr_wing
8414902 8414902 NA
8414903 8414903 75
8414904 8414904 78
8414905 8414905 77.5
8414905 8414905 NA
8414905 8414905 NA
8414905 8414905 NA
8414905 8414905 80
8414905 8414905 NA
8414905 8414905 79
8414906 8414906 83
8414907 8414907 78.5
8414908 8414908 79
8414909 8414909 80
8414910 8414910 81
8414910 8414910 NA
8414910 8414910 83
8414910 8414910 83.64
8414910 8414910 83.64
8414910 8414910 83
8414910 8414910 82.64
8414910 8414910 83
8414910 8414910 83.7
8414910 8414910 NA
8414910 8414910 77.7
8414911 8414911 77
8414911 8414911 78.5
8414911 8414911 79
8414911 8414911 79
8414912 8414912 78
8414912 8414912 NA
8414912 8414912 NA
8414913 8414913 81.5
8414913 8414913 82.5
8414913 8414913 83.64
8414913 8414913 83.64
8414913 8414913 80
8414913 8414913 82.41
8414913 8414913 82
8414913 8414913 NA
8414914 8414914 80
8414915 8414915 80.5
8414915 8414915 81
8414915 8414915 81.64
8414915 8414915 81.64
8414915 8414915 82
8414915 8414915 79
8414916 8414916 80
8414917 8414917 79.5
8414917 8414917 80
8414917 8414917 NA
8414917 8414917 80.5
8414917 8414917 79.64
8414918 8414918 79.5
8414918 8414918 81
8414918 8414918 81
8414918 8414918 71
8414919 8414919 79
8414919 8414919 81
8414919 8414919 82.64
8414919 8414919 80.5
8414919 8414919 77
8414920 8414920 79
8414921 8414921 80.5
8414921 8414921 NA
8414922 8414922 78
8414923 8414923 82
8414923 8414923 NA
8414923 8414923 83
8414923 8414923 82.64
8414923 8414923 82.64
8414923 8414923 83
8414923 8414923 82
8414924 8414924 81.5
8414925 8414925 80
8414925 8414925 NA
8414926 8414926 81
8414926 8414926 NA
8414927 8414927 77
8414928 8414928 77
8414928 8414928 81
8414928 8414928 81
8414928 8414928 79
8414928 8414928 80.78
8414928 8414928 78.41
8414929 8414929 75
8414929 8414929 80
8414929 8414929 NA
8414929 8414929 77.64
8414929 8414929 77
8414930 8414930 79
8414930 8414930 NA
8414930 8414930 81.64
8414930 8414930 81.64
8414930 8414930 81
8414930 8414930 82
8414930 8414930 NA
8414930 8414930 77.61
8414931 8414931 81.5
8414931 8414931 83.64
8414932 8414932 81
8414933 8414933 76
